source_id,segment_id,input_row_index,start_time_s,end_time_s,speaker_role,chunk_type,text,text_char_len,model_role,model_name,predicted_label,predicted_score,label_scores_json,deterministic_label,deterministic_score,deterministic_signed_score
msft_fy26_q2_example,msft_fy26_q2_example_seg_0001,1,,6.24,,transcript_chunk,Greetings and welcome to the Microsoft Fiscal Year 206 second quarter earnings conference call.,95,primary_finbert,ProsusAI/finbert,neutral,0.857736,"[{""label"": ""neutral"", ""score"": 0.857736}, {""label"": ""positive"", ""score"": 0.125642}, {""label"": ""negative"", ""score"": 0.016622}]",POSITIVE,0.9875079989433287,0.9875079989433287
msft_fy26_q2_example,msft_fy26_q2_example_seg_0002,2,7.2,12.48,,transcript_chunk,"At this time, all participants are an only mode. A question in the answer session will follow",93,primary_finbert,ProsusAI/finbert,neutral,0.936201,"[{""label"": ""neutral"", ""score"": 0.936201}, {""label"": ""negative"", ""score"": 0.044901}, {""label"": ""positive"", ""score"": 0.018898}]",NEGATIVE,0.6529772281646729,-0.6529772281646729
msft_fy26_q2_example,msft_fy26_q2_example_seg_0003,3,12.48,19.28,,transcript_chunk,"the formal presentation. If anyone should require operator assistance, please press star zero",93,primary_finbert,ProsusAI/finbert,neutral,0.941958,"[{""label"": ""neutral"", ""score"": 0.941958}, {""label"": ""negative"", ""score"": 0.029716}, {""label"": ""positive"", ""score"": 0.028326}]",NEGATIVE,0.9996298551559448,-0.9996298551559448
msft_fy26_q2_example,msft_fy26_q2_example_seg_0004,4,19.28,24.16,,transcript_chunk,"on your telephone keypad. As a reminder, this conference is being recorded.",75,primary_finbert,ProsusAI/finbert,neutral,0.944815,"[{""label"": ""neutral"", ""score"": 0.944815}, {""label"": ""negative"", ""score"": 0.029297}, {""label"": ""positive"", ""score"": 0.025888}]",NEGATIVE,0.9836618304252625,-0.9836618304252625
msft_fy26_q2_example,msft_fy26_q2_example_seg_0005,5,25.12,30.56,,transcript_chunk,"It is now my pleasure to introduce Jonathan Nielsen, Vice President of Vester Relations.",88,primary_finbert,ProsusAI/finbert,neutral,0.883661,"[{""label"": ""neutral"", ""score"": 0.883661}, {""label"": ""positive"", ""score"": 0.103074}, {""label"": ""negative"", ""score"": 0.013265}]",POSITIVE,0.9996920824050904,0.9996920824050904
msft_fy26_q2_example,msft_fy26_q2_example_seg_0006,6,30.56,35.92,,transcript_chunk,"Please go ahead. Good afternoon and thank you for joining us today. On the call with me,",88,primary_finbert,ProsusAI/finbert,neutral,0.871031,"[{""label"": ""neutral"", ""score"": 0.871031}, {""label"": ""positive"", ""score"": 0.117942}, {""label"": ""negative"", ""score"": 0.011027}]",POSITIVE,0.99980491399765,0.99980491399765
msft_fy26_q2_example,msft_fy26_q2_example_seg_0007,7,35.92,41.36,,transcript_chunk,"I'll sat in a dela, chairman and chief executive officer, Amy Hood, chief financial officer,",92,primary_finbert,ProsusAI/finbert,neutral,0.950593,"[{""label"": ""neutral"", ""score"": 0.950593}, {""label"": ""positive"", ""score"": 0.031597}, {""label"": ""negative"", ""score"": 0.017811}]",NEGATIVE,0.8047158718109131,-0.8047158718109131
msft_fy26_q2_example,msft_fy26_q2_example_seg_0008,8,41.36,46.72,,transcript_chunk,"Alice Joller, chief accounting officer, and chief doll of a corporate secretary and deputy general",98,primary_finbert,ProsusAI/finbert,neutral,0.935882,"[{""label"": ""neutral"", ""score"": 0.935882}, {""label"": ""positive"", ""score"": 0.033211}, {""label"": ""negative"", ""score"": 0.030907}]",POSITIVE,0.9628983736038208,0.9628983736038208
msft_fy26_q2_example,msft_fy26_q2_example_seg_0009,9,46.72,52.400000000000006,,transcript_chunk,"counsel. On the Microsoft Investigation's website, you can find our earnings press release in",93,primary_finbert,ProsusAI/finbert,neutral,0.946263,"[{""label"": ""neutral"", ""score"": 0.946263}, {""label"": ""negative"", ""score"": 0.028912}, {""label"": ""positive"", ""score"": 0.024825}]",NEGATIVE,0.9790244102478028,-0.9790244102478028
msft_fy26_q2_example,msft_fy26_q2_example_seg_0010,10,52.4,57.12,,transcript_chunk,"financial summary slide deck, which is intended to supplement to appropriate remarks during today's",99,primary_finbert,ProsusAI/finbert,neutral,0.950606,"[{""label"": ""neutral"", ""score"": 0.950606}, {""label"": ""positive"", ""score"": 0.02547}, {""label"": ""negative"", ""score"": 0.023924}]",NEGATIVE,0.94663405418396,-0.94663405418396
